TAX_YEAR,ROLL_NUM,ADDRESS,YEAR_BUILT,ASSESSCLAS,BLDG_DESC,BLDG_METRE,BLDG_FEET,GARAGE,FIREPLACE,BASEMENT,BSMTDEVL,ASSESSMENT,LATITUDE,LONGITUDE
2015,1017347004,269 51268 RNG RD 204,1979,Residential,1 1/2 Storey & Basement,107,1152,N,Y,Y,N,305000,53.40395528,-112.9224683
2015,1017326008,225 51268 RNG RD 204,1967,Residential,1 Storey & Basement,98,1056,Y,Y,Y,Y,292000,53.40613306,-112.9195793
2015,1017323005,213 51268 RNG RD 204,2008,Residential,2 Storey & Basement,235,2525,Y,Y,Y,N,720000,53.4071844,-112.9206709
2015,1017116003,101 51268 RNG RD 204,1966,Residential,1 Storey Basementless,67,720,N,N,N,N,223000,53.41009719,-112.9066087
2015,1016330001,15 51263 RNG RD 204,1975,Residential,2 Storey Basementless,119,1279,N,Y,N,N,268000,53.40992572,-112.8937697
2015,1016331009,13 51263 RNG RD 204,1973,Residential,A-Frame Basementless,81,875,Y,Y,N,N,226000,53.40995726,-112.8933752
2015,1017318005,203 51268 RNG RD 204,1981,Residential,A-Frame Basementless,77,832,Y,N,N,N,251000,53.406994,-112.918602
2015,1017342005,259 51268 RNG RD 204,1998,Residential,2 Storey Basementless,156,1676,Y,Y,N,N,405000,53.40433002,-112.9219435
2015,1016332007,11 51263 RNG RD 204,2008,Residential,1 Storey Slab on Grade,127,1362,N,Y,N,N,373000,53.41000711,-112.8930131
2015,1017343003,261 51268 RNG RD 204,1978,Residential,1 3/4 Storey Basementless,118,1265,Y,Y,N,N,351000,53.40441493,-112.9220106
2015,1016333005,9 51263 RNG RD 204,1998,Residential,1 Storey Basementless,106,1140,Y,Y,N,N,379000,53.4100585,-112.8926387
2015,1017344001,263 51268 RNG RD 204,1977,Residential,1 1/2 Storey Basementless,274,2951,Y,Y,N,N,481000,53.40450673,-112.923011
2015,1017325000,223 51268 RNG RD 204,1998,Residential,2 Storey & Basement,165,1779,Y,Y,Y,Y,574000,53.40640052,-112.9198736
2015,1017345008,265 51268 RNG RD 204,1977,Residential,2 Storey Basementless,204,2201,Y,Y,N,N,507000,53.40436468,-112.9223009
2015,1016329003,17 51263 RNG RD 204,1974,Residential,1 Storey Basementless,59,640,N,Y,N,N,212000,53.40995481,-112.8941913
2015,1016334003,7 51263 RNG RD 204,1978,Residential,1 Storey Basementless,77,831,Y,Y,N,N,219000,53.41011729,-112.8922084
2015,1017321009,209 51268 RNG RD 204,1960,Residential,2 Storey Basementless,280,3014,Y,Y,N,N,489000,53.40701321,-112.9193343
2015,1016336008,3 51263 RNG RD 204,2000,Residential,1 Storey Basementless,104,1120,Y,Y,N,N,347000,53.40935734,-112.8913754
2015,1016335000,5 51263 RNG RD 204,1976,Residential,1 Storey Basementless,163,1756,Y,Y,N,N,365000,53.4094762,-112.8919805
2015,1016318006,33 51263 RNG RD 204,1998,Residential,Split Entry,128,1380,Y,Y,Y,Y,450000,53.40908034,-112.8974292
2015,1016337006,1 51263 RNG RD 204,1977,Residential,2 Storey Basementless,180,1939,Y,Y,N,N,438000,53.40976362,-112.8910756
2015,1016321000,39 51263 RNG RD 204,2005,Residential,2 Storey Basementless,237,2556,Y,Y,N,N,604000,53.40983439,-112.8975964
2015,1017114008,169 51268 RNG RD 204,1976,Residential,1 3/4 Storey Basementless,134,1440,N,N,N,N,249000,53.40878978,-112.9144593
2015,1016319004,35 51263 RNG RD 204,1974,Residential,1 Storey Basementless,83,892,Y,Y,N,N,284000,53.40908034,-112.8974292
2015,1028700001,,1968,Residential,2 Storey Basementless,102,1101,Y,Y,N,N,604000,53.42544525,-112.8896904
2015,1016320002,37 51263 RNG RD 204,2000,Residential,1 Storey Basementless,212,2284,Y,Y,N,N,584000,53.40944738,-112.8980384
2015,1016324004,27 51263 RNG RD 204,1991,Residential,1 Storey & Basement,157,1694,Y,Y,Y,N,527000,53.40940369,-112.895873
2015,1017314004,195 51268 RNG RD 204,1960,Residential,2 Storey Basementless,134,1438,Y,Y,N,N,362000,53.40773107,-112.9185695
2015,1017109008,159 51268 RNG RD 204,1998,Residential,1 Storey Basementless,100,1079,Y,N,N,N,329000,53.40914336,-112.9137676
2015,1017315001,197 51268 RNG RD 204,1962,Residential,1 Storey Basementless,77,834,Y,Y,N,N,206000,53.40763132,-112.9187922
2015,1016325001,25 51263 RNG RD 204,2003,Residential,1 Storey Basementless,132,1416,Y,Y,N,N,455000,53.4094966,-112.8955407
2015,1017313006,193 51268 RNG RD 204,1967,Residential,1 Storey Basementless,48,512,Y,Y,N,N,158000,53.40784536,-112.9183734
2015,1017110006,161 51268 RNG RD 204,1965,Residential,1 Storey Basementless,66,712,N,N,N,N,199000,53.40903427,-112.9139761
2015,1016313007,40 51263 RNG RD 204,1976,Residential,1 Storey Basementless,58,628,N,Y,N,N,224000,53.40843678,-112.8993418
2015,1017111004,163 51268 RNG RD 204,1965,Residential,1 Storey Basementless,60,648,N,N,N,N,189000,53.40892518,-112.9141844
2015,1017113000,167 51268 RNG RD 204,1978,Residential,1 1/2 Storey Basementless,127,1368,N,N,N,N,303000,53.40881651,-112.914392
2015,1016328005,19 51263 RNG RD 204,1981,Residential,1 Storey & Basement,128,1379,Y,Y,Y,Y,480000,53.40994142,-112.8946184
2015,1017112002,165 51268 RNG RD 204,1986,Residential,1 3/4 Storey Basementless,141,1521,Y,Y,N,N,378000,53.40883558,-112.9143556
2015,1017305002,177 51268 RNG RD 204,1962,Residential,1 Storey Basementless,84,905,Y,N,N,N,183000,53.40817344,-112.9155525
2015,1017108000,157 51268 RNG RD 204,1979,Residential,1 1/2 Storey Basementless,153,1648,Y,Y,N,N,347000,53.40926621,-112.9135862
2015,1016326009,23 51263 RNG RD 204,1990,Residential,1 1/2 Storey & Basement,171,1846,Y,Y,Y,Y,555000,53.40964285,-112.8952532
2015,1016308007,51 51263 RNG RD 204,1978,Residential,1 Storey Basementless,80,856,Y,Y,N,N,220000,53.40903292,-112.9001264
2015,1017316009,199 51268 RNG RD 204,1990,Residential,1 Storey & Basement,77,831,N,N,Y,N,230000,53.40759352,-112.9191286
2015,1016307009,53 51263 RNG RD 204,1993,Residential,1 Storey & Basement,113,1215,Y,N,Y,Y,397000,53.40885291,-112.9002369
2015,1016312009,43 51263 RNG RD 204,1971,Residential,1 3/4 Storey & Basement,206,2220,Y,Y,Y,Y,402000,53.4097577,-112.8991884
2015,1016316000,34 51263 RNG RD 204,1981,Residential,Manufactured Home,83,897,Y,N,N,N,239000,53.40848187,-112.8976834
2015,1016305003,57 51263 RNG RD 204,1976,Residential,Manufactured Home,125,1345,N,N,N,N,205000,53.40877552,-112.9006827
2015,1016315002,36 51263 RNG RD 204,1976,Residential,1 Storey & Basement,90,973,Y,Y,Y,N,258000,53.4086951,-112.8981547
2015,1016327007,21 51263 RNG RD 204,1990,Residential,1 Storey Basementless,71,767,N,Y,N,N,246000,53.40981232,-112.894981
2015,1017309004,185 51268 RNG RD 204,1964,Residential,1 Storey Basementless,97,1041,Y,Y,N,N,274000,53.40840811,-112.9173975
2015,2102505001,,1964,Residential,1 Storey Basementless,51,544,N,N,N,N,31000,53.45716134,-112.9847148
2015,1017311000,189 51268 RNG RD 204,1996,Residential,1 Storey & Bonus Upper,166,1786,Y,Y,Y,Y,515000,53.40796898,-112.9181945
2015,1016306001,55 51263 RNG RD 204,1978,Vacant Residential,1 Storey Basementless,52,561,N,N,N,N,52000,53.40877568,-112.900417
2015,1016310003,47 51263 RNG RD 204,1977,Residential,2 Storey & Basement,163,1751,Y,Y,Y,N,394000,53.4094958,-112.8998423
2015,2102506009,,1976,Residential,1 Storey Basementless,54,577,N,N,N,N,43000,53.45674558,-112.9854884
2015,1016314005,38 51263 RNG RD 204,1979,Residential,Split Entry,142,1528,Y,Y,Y,Y,378000,53.40862406,-112.8992006
2015,1017310002,187 51268 RNG RD 204,1962,Residential,A-Frame Basementless,94,1016,N,Y,N,N,279000,53.40817974,-112.9177697
2015,2102516008,,1948,Residential,1 Storey Basementless,75,802,Y,N,N,N,38000,53.45631887,-112.9887305
2015,1020502009,51304 RNG RD 204,1959,Residential,1 Storey Basementless,51,552,N,N,N,N,202000,53.41155007,-112.9027799
2015,1017307008,181 51268 RNG RD 204,1965,Residential,1 Storey Basementless,79,848,Y,Y,N,N,302000,53.40854611,-112.9172154
2015,1019103009,51380 RNG RD 205,1978,Residential,2 Storey Basementless,190,2040,Y,Y,N,N,427000,53.42405641,-112.9275838
2015,1017117109,95 51268 RNG RD 204,2011,Residential,1 Storey Basementless,16,168,Y,N,N,N,149000,53.40980256,-112.9065104
2015,1019102001,51380B RNG RD 205,1999,Non-Residential / Residential,1 Storey Basementless,158,1701,Y,N,N,N,436000,53.42446649,-112.9285426
2015,1016302000,51277 RNG RD 204,1976,Residential,Manufactured Home,176,1889,Y,N,N,N,420000,53.41064792,-112.9017861
2015,1027604009,,1905,Residential,1 Storey & Basement,143,1539,Y,Y,Y,Y,527000,53.42689744,-112.876779
2015,1017830101,275 51268 RNG RD 204,1970,Residential,2 Storey & Basement,192,2071,Y,Y,Y,Y,403000,53.40316932,-112.9263075
2015,1003110111,61 20212 TWP RD 510,2006,Residential,2 Storey & Basement,279,3008,Y,Y,Y,N,792000,53.3695605,-112.862786
2015,1003110129,73 20212 TWP RD 510,2009,Residential,2 Storey & Basement,216,2325,Y,Y,Y,N,624000,53.3695605,-112.862786
2015,1003108006,134 20212 TWP RD 510,2008,Residential,1 Storey & Basement,216,2322,Y,Y,Y,Y,817000,53.36828481,-112.8592065
2015,1003111000,109 20212 TWP RD 510,2008,Residential,1 Storey & Basement,151,1629,Y,Y,Y,N,466000,53.36772411,-112.8557554
2015,1003144001,98 20212 TWP RD 510,2001,Residential,1 Storey & Basement,142,1524,Y,Y,Y,N,478000,53.37034733,-112.8580074
2015,1003103007,13 20212 TWP RD 510,2000,Residential,1 Storey & Basement,114,1224,Y,Y,Y,Y,396000,53.36828873,-112.8623148
2015,1021700008,51301 RNG RD 204,2003,Residential,2 Storey Basementless,208,2237,Y,Y,N,N,545000,53.41163845,-112.9017903
2015,1003116009,169 20212 TWP RD 510,1985,Residential,1 Storey & Basement,130,1399,Y,N,Y,Y,326000,53.37165472,-112.8557482
2015,1003118005,193 20212 TWP RD 510,2003,Residential,Split Entry & Bonus Upper,147,1579,Y,Y,Y,Y,513000,53.37229256,-112.855747
2015,1003102009,1 20212 TWP RD 510,1981,Residential,2 Storey Slab on Grade,116,1249,Y,N,N,N,239000,53.36713381,-112.8618868
2015,1017117019,69 51268 RNG RD 204,1988,Residential,1 Storey Basementless,52,560,N,N,N,N,200000,53.40980897,-112.9034348
2015,1003150008,326 20212 TWP RD 510,1995,Residential,1 Storey & Basement,132,1416,Y,Y,Y,Y,445000,53.37801218,-112.8650172
2015,1006501009,51014 RNG RD 205,1972,Residential,1 Storey & Basement,117,1256,Y,N,Y,Y,312000,53.36992993,-112.9287552
2015,1003136007,2 20212 TWP RD 510,2002,Residential,Split Entry,121,1305,Y,Y,Y,Y,448000,53.36713625,-112.8649932
2015,1003110002,110 20212 TWP RD 510,1978,Residential,1 Storey & Basement,138,1490,Y,Y,Y,N,300000,53.367737,-112.8592075
2015,1003151006,338 20212 TWP RD 510,1985,Residential,2 Storey & Basement,167,1794,Y,Y,Y,Y,402000,53.37801218,-112.8650172
2015,1003104005,25 20212 TWP RD 510,1984,Residential,1 Storey Basementless,18,192,N,N,N,N,93000,53.36883613,-112.8625176
2015,1003137005,14 20212 TWP RD 510,2012,Residential,Split Entry & Bonus Upper,159,1707,Y,Y,Y,Y,548000,53.368614,-112.8649965
2015,1003143003,86 20212 TWP RD 510,1999,Residential,1 Storey & Basement,143,1540,Y,Y,Y,Y,492000,53.37034733,-112.8580074
2015,1005126006,2 51042 RNG RD 204,1990,Residential,1 Storey Basementless,154,1662,Y,Y,N,N,290000,53.37555395,-112.9043024
2015,1034102002,,1981,Residential,2 Storey & Basement,276,2970,Y,Y,Y,Y,534000,53.44806464,-112.8651238
2015,1017103001,61 51268 RNG RD 204,1962,Residential,1 Storey Basementless,107,1151,Y,Y,N,N,243000,53.41037644,-112.9020884
2015,1003113006,133 20212 TWP RD 510,1984,Residential,Split Entry,119,1279,Y,Y,Y,Y,360000,53.36834059,-112.8557542
2015,1003141007,62 20212 TWP RD 510,2000,Residential,1 Storey & Basement,143,1541,Y,Y,Y,Y,486000,53.37049321,-112.8605129
2015,1033101005,,2004,Exempt / Farmland / Residential,2 Storey & Basement,337,3630,Y,Y,Y,Y,786000,53.45318879,-112.8775941
2015,1003149000,314 20212 TWP RD 510,2005,Residential,1 Storey & Basement,142,1533,Y,Y,Y,N,478000,53.3772455,-112.8650155
2015,1020300008,51377 RNG RD 205,1950,Residential,1 Storey Basementless,70,754,N,N,N,N,156000,53.42505351,-112.9264127
2015,1010304100,51143 RNG RD 203,1978,Residential,Manufactured Home,75,813,N,N,N,N,129000,53.38882736,-112.8746732
2015,1005117005,182 51042 RNG RD 204,2002,Residential,1 Storey & Basement,125,1344,N,N,Y,N,331000,53.37998061,-112.9092261
2015,1005120009,74 51042 RNG RD 204,1982,Residential,2 Storey Basementless,192,2071,Y,Y,N,N,339000,53.37836264,-112.9081061
2015,1003138003,26 20212 TWP RD 510,1994,Residential,1 Storey & Basement,162,1745,Y,Y,Y,Y,455000,53.368614,-112.8649965
2015,1017117131,83 51268 RNG RD 204,2007,Residential,1 Storey Slab on Grade,188,2021,Y,N,N,N,645000,53.41017423,-112.905398
2015,1005112505,169 51042 RNG RD 204,1981,Residential,2 Storey & Basement,105,1131,N,N,Y,Y,316000,53.37794354,-112.9141915
2015,1017117173,71 51268 RNG RD 204,1990,Residential,1 Storey Basementless,102,1095,Y,Y,N,N,340000,53.40937916,-112.9034336
2015,1003115001,157 20212 TWP RD 510,1998,Residential,1 Storey & Basement,134,1440,Y,Y,Y,Y,440000,53.37100757,-112.8557493
2015,1005122005,50 51042 RNG RD 204,1981,Residential,1 Storey Slab on Grade,125,1344,Y,Y,N,N,292000,53.37770101,-112.9083606
2015,1003152004,350 20212 TWP RD 510,1995,Residential,1 Storey & Basement,127,1370,Y,Y,Y,Y,379000,53.37970986,-112.8650209
2015,1003126008,409 20212 TWP RD 510,2005,Residential,1 Storey & Basement,149,1606,Y,Y,Y,Y,605000,53.37864593,-112.8583614
2015,1003120001,217 20212 TWP RD 510,1982,Residential,1 Storey & Basement,108,1164,N,Y,Y,N,277000,53.3733594,-112.8558324
2015,1008101006,51144 RNG RD 204,2008,Residential,1 Storey Basementless,167,1800,Y,N,N,N,394000,53.38969664,-112.905087
2015,1005121007,62 51042 RNG RD 204,2002,Residential,1 Storey & Basement,203,2183,Y,Y,Y,Y,584000,53.37774128,-112.9083596
2015,1009300003,20343 TWP RD 512,1970,Residential,1 Storey & Basement,97,1049,N,Y,Y,Y,260000,53.39516191,-112.8896343
2015,1003125000,397 20212 TWP RD 510,2006,Residential,1 Storey & Basement,157,1695,Y,Y,Y,Y,528000,53.37987439,-112.8600425
2015,1003158001,446 20212 TWP RD 510,2007,Residential,1 Storey & Basement,198,2126,Y,Y,Y,N,553000,53.37628863,-112.8550446
2015,1005111008,157 51042 RNG RD 204,2003,Residential,1 1/2 Sty. Slab on Grade,149,1600,N,Y,N,N,321000,53.37753855,-112.9128979
2015,1005116007,170 51042 RNG RD 204,1994,Residential,2 Storey & Basement,191,2053,Y,Y,Y,Y,597000,53.37895399,-112.9097321
2015,1003124003,385 20212 TWP RD 510,2005,Residential,1 Storey & Basement,173,1858,Y,Y,Y,Y,587000,53.37970664,-112.8610178
2015,1005124001,26 51042 RNG RD 204,1996,Residential,1 1/2 Storey & Basement,156,1678,Y,Y,Y,Y,426000,53.37619037,-112.908557
2015,1003110137,85 20212 TWP RD 510,1996,Residential,2 Storey & Basement,196,2113,Y,Y,Y,Y,473000,53.36955548,-112.8611658
2015,1003121009,229 20212 TWP RD 510,1999,Residential,1 Storey & Basement,134,1440,Y,Y,Y,Y,390000,53.37390659,-112.8561533
2015,1003107008,97 20212 TWP RD 510,2007,Residential,1 Storey & Basement,166,1790,Y,Y,Y,N,546000,53.36883233,-112.8588988
2015,1005125008,14 51042 RNG RD 204,1993,Residential,1 Storey Basementless,147,1578,Y,Y,N,N,366000,53.37476719,-112.9041726
2015,1005113503,181 51042 RNG RD 204,2002,Residential,1 Storey & Basement,149,1600,Y,Y,Y,Y,585000,53.37982704,-112.9118524
2015,1003129002,433 20212 TWP RD 510,2004,Residential,1 Storey & Basement,137,1479,Y,Y,Y,Y,448000,53.3768286,-112.8581633
2015,1003148002,302 20212 TWP RD 510,2001,Residential,1 Storey & Basement,104,1122,Y,Y,Y,Y,421000,53.37679284,-112.8624934
2015,1003157003,434 20212 TWP RD 510,2001,Residential,2 Storey Slab on Grade,409,4401,Y,Y,N,N,551000,53.37695155,-112.8554802
2015,1005107006,109 51042 RNG RD 204,2004,Residential,1 Storey & Basement,133,1432,Y,Y,Y,N,445000,53.37433974,-112.9119381
2015,1019701000,51321 RNG RD 210,1959,Residential,1 Storey Basementless,95,1018,Y,N,N,N,251000,53.41425928,-112.9511468
2015,1003123005,373 20212 TWP RD 510,1984,Residential,1 3/4 Sty. Slab on Grade,211,2276,Y,Y,N,N,328000,53.3787254,-112.8621168
2015,1003140009,50 20212 TWP RD 510,2004,Residential,1 Storey & Basement,212,2283,Y,Y,Y,Y,726000,53.37170618,-112.8624646
2015,1003131008,253 20212 TWP RD 510,2003,Residential,1 Storey & Basement,156,1682,Y,Y,Y,Y,533000,53.37613052,-112.8572731
2015,1005115009,134 51042 RNG RD 204,2001,Residential,1 Storey & Basement,138,1485,Y,Y,Y,Y,599000,53.37770216,-112.9115633
2015,1032102004,20436 TWP RD 515A,1961,Exempt / Farmland / Residential,1 Storey & Basement,100,1080,Y,N,Y,N,260410,53.44743461,-112.91438
2015,1005707003,51017 RNG RD 205,1994,Residential,1 Storey Slab on Grade,114,1228,Y,N,N,N,307000,53.37069828,-112.9261957
2015,1003133004,277 20212 TWP RD 510,2003,Residential,Split Entry,138,1484,Y,Y,Y,Y,488000,53.37554201,-112.8595263
2015,1003130000,457 20212 TWP RD 510,2003,Residential,1 Storey & Basement,148,1592,Y,Y,Y,Y,500000,53.37696386,-112.8559803
2015,1030301004,51463 RNG RD 210,1977,Exempt / Farmland / Residential,1 Storey Basementless,214,2302,Y,Y,N,N,393000,53.43687337,-112.9511409
2015,1003128004,421 20212 TWP RD 510,1993,Residential,Split Entry,103,1106,Y,N,Y,Y,354000,53.3768286,-112.8581633
2015,1002705000,51009 RNG RD 202,1960,Residential,1 Storey & Basement,121,1299,N,N,Y,N,326000,53.36865779,-112.8495517
2015,1003147004,290 20212 TWP RD 510,1997,Residential,1 3/4 Storey & Basement,251,2697,Y,Y,Y,N,601000,53.37546918,-112.8650115
2015,1003134002,289 20212 TWP RD 510,2003,Residential,Split Entry,159,1711,Y,Y,Y,Y,472000,53.37586696,-112.8604292
2015,1005110000,145 51042 RNG RD 204,1983,Residential,2 Storey & Basement,184,1981,Y,Y,Y,Y,372000,53.37613966,-112.9141904
2015,1005108004,121 51042 RNG RD 204,1980,Residential,Split Level,162,1747,Y,Y,Y,N,427000,53.37433728,-112.9132741
2015,1018100006,,1977,Exempt / Residential,1 Storey Basementless,78,837,Y,Y,N,N,1166000,53.40376021,-112.9304459
2015,1008500017,51116 RNG RD 204,1979,Residential,Manufactured Home,99,1065,Y,Y,N,N,270000,53.38585279,-112.9050616
2015,1005119001,86 51042 RNG RD 204,1998,Residential,1 Storey & Basement,171,1845,Y,Y,Y,N,642000,53.3800288,-112.9078736
2015,1014300104,51257 RNG RD 202,1986,Residential,1 1/2 Storey & Basement,235,2533,Y,Y,Y,Y,572000,53.40874917,-112.8497702
2015,1022300022,51350 WYE RD,1978,Farmland / Residential,1 Storey & Basement,136,1467,Y,Y,Y,Y,381640,53.41790398,-112.8772288
2015,1002704003,51015 RNG RD 202,1977,Exempt / Farmland / Residential,Split Entry,83,895,Y,N,Y,Y,282000,53.37063105,-112.8525727
2015,1005109002,133 51042 RNG RD 204,1983,Residential,1 Storey & Basement,165,1773,Y,Y,Y,Y,456000,53.3749103,-112.9141897
2015,1027503000,20202 WYE RD,1968,Residential,1 Storey & Basement,124,1334,Y,Y,Y,Y,798000,53.4253674,-112.8557602
2015,1005703002,20474 TWP RD 510,1978,Residential,Split Level,100,1080,Y,Y,N,N,429000,53.3692471,-112.9263476
2015,1005506009,51016 RNG RD 204,1970,Residential,1 Storey & Basement,143,1536,Y,Y,Y,N,330000,53.36851105,-112.9050635
2015,1034105005,20223 TWP RD 515A,1974,Residential,1 Storey & Basement,139,1499,Y,Y,Y,N,388000,53.45038197,-112.8591201
2015,1003155007,398 20212 TWP RD 510,1996,Residential,Split Entry,131,1405,Y,Y,Y,Y,465000,53.38162478,-112.8609037
2015,1005105000,25 51042 RNG RD 204,1998,Residential,1 Storey Slab on Grade,99,1063,Y,N,N,N,294000,53.37434492,-112.9091006
2015,1003153002,362 20212 TWP RD 510,2005,Residential,1 Storey & Basement,188,2024,Y,Y,Y,Y,541000,53.37970986,-112.8650209
2015,1022706004,51336 WYE RD,2013,Farmland,1 Storey & Basement,182,1956,Y,Y,Y,Y,460,53.41790398,-112.8772288
2015,1027604009,,1905,Residential,1 Storey & Basement,143,1539,Y,Y,Y,Y,527000,53.42634238,-112.8752124
2015,1029704002,51401 RNG RD 205,1993,Residential,1 Storey & Basement,181,1945,Y,Y,Y,Y,804000,53.42704564,-112.9264227
2015,1004700009,51031 RNG RD 204,2001,Exempt / Farmland / Residential,Split Entry,107,1152,Y,N,Y,N,319000,53.37435796,-112.9017307
2015,1003154000,374 20212 TWP RD 510,1976,Residential,Manufactured Home,93,1001,Y,N,N,N,370000,53.38161919,-112.8650251
2015,1032102004,20435 TWP RD 515A,1961,Exempt / Farmland / Residential,1 Storey & Basement,100,1080,Y,N,Y,N,260410,53.44709855,-112.9143783
2015,1016342105,2 51263 RNG RD 204,1989,Residential,2 Storey & Basement,158,1698,Y,Y,Y,Y,636000,53.40967352,-112.8896444
2015,1016510008,16 20332 TWP RD 512,1992,Residential,2 Storey & Basement,97,1044,Y,Y,Y,Y,388000,53.39628219,-112.8896358
2015,1004513006,51021 RNG RD 204,1976,Exempt / Farmland / Residential,1 Storey & Basement,100,1079,Y,Y,Y,Y,238500,53.37145591,-112.9017255
2015,1004502009,51030 RNG RD 203,1976,Residential,1 Storey & Basement,128,1379,Y,Y,Y,Y,522000,53.37078508,-112.8834972
2015,1004508006,37 20340 TWP RD 510,1988,Residential,2 Storey & Basement,191,2061,Y,Y,Y,Y,499000,53.37347269,-112.8853429
2015,1004507008,25 20340 TWP RD 510,1978,Residential,1 1/2 Storey & Basement,187,2013,N,N,Y,Y,454000,53.3725338,-112.8891338
2015,1009107002,20335 HWY 14,2003,Residential,1 Storey & Basement,132,1420,Y,Y,Y,Y,540000,53.39426982,-112.8896329
2015,1034104008,20233 TWP RD 515A,1985,Exempt / Farmland / Residential,1 Storey & Basement,116,1249,Y,Y,Y,N,328000,53.45172717,-112.8611273
2015,1004506000,13 20340 TWP RD 510,1960,Residential,1 Storey & Basement,96,1036,Y,Y,Y,Y,362000,53.37078508,-112.8834972
2015,1027103009,51474 RNG RD 202,1949,Residential,1 Storey & Basement,197,2117,Y,Y,Y,Y,477000,53.43794155,-112.8590233
2015,1009104009,20305 TWP RD 512,1935,Residential,1 Storey Basementless,59,639,N,N,N,N,177000,53.39241128,-112.880527
2015,1032104000,51518 RNG RD 204A,1971,Residential,1 Storey & Basement,92,987,Y,Y,Y,N,323000,53.45115303,-112.9143986
2015,1009101005,20315 TWP RD 512,1930,Farmland / Residential,1 Storey & Basement,65,700,N,N,Y,Y,185340,53.39240867,-112.8815803
2015,1016506006,51230 WYE RD,1980,Residential,2 Storey & Basement,190,2044,Y,Y,Y,Y,445000,53.40165171,-112.8836189
2015,1016503003,51232 WYE RD,1979,Exempt / Farmland / Residential,1 Storey & Basement,130,1401,Y,Y,Y,Y,378000,53.4034392,-112.8836294
