CATEGORY,YEAR,Neighbourhood,ADDRESS,QUADRANT,Ward,LATITUDE,LONGITUDE,LOCATION,,,,Value
General,2015,Caernarvon,15223  -  119 STREET,NW,2,53.61413808,-113.5261351,"(53.6141380820421, -113.526135067687)",,,,1
General,2015,Caernarvon,15231  -  119A STREET,NW,2,53.61540184,-113.5279867,"(53.6154018418963, -113.527986691205)",,,,1
General,2015,Caernarvon,15224  -  121 STREET,NW,2,53.61546883,-113.5308992,"(53.615468834196, -113.530899214309)",,,,1
General,2015,Caernarvon,15236  -  121 STREET,NW,2,53.61610377,-113.5307748,"(53.6161037745273, -113.530774766592)",,,,1
General,2015,Caernarvon,14529  -  121A STREET,NW,2,53.60752405,-113.5317784,"(53.6075240461925, -113.53177843941)",,,,1
General,2015,Caernarvon,14604  -  122 STREET,NW,2,53.60832102,-113.5338178,"(53.6083210232706, -113.533817792652)",,,,1
General,2015,Caernarvon,15220  -  122 STREET,NW,2,53.61518063,-113.5336535,"(53.615180628039, -113.533653535837)",,,,1
General,2015,Caernarvon,15224  -  122 STREET,NW,2,53.61531407,-113.5335514,"(53.6153140659379, -113.533551417915)",,,,1
General,2015,Caernarvon,15231  -  122 STREET,NW,2,53.61534681,-113.5325089,"(53.6153468138575, -113.532508932192)",,,,1
General,2015,Caernarvon,15236  -  122 STREET,NW,2,53.61565161,-113.5329939,"(53.6156516123091, -113.532993875118)",,,,1
General,2015,Caernarvon,15240  -  122 STREET,NW,2,53.61575765,-113.5327878,"(53.6157576502639, -113.53278779608)",,,,1
General,2015,Caernarvon,15244  -  122 STREET,NW,2,53.61578491,-113.5325232,"(53.6157849135978, -113.532523179305)",,,,1
General,2015,Caernarvon,14735  -  123 STREET,NW,2,53.61002479,-113.5346504,"(53.6100247907945, -113.534650419234)",,,,1
General,2015,Caernarvon,14915  -  123 STREET,NW,2,53.61154347,-113.5348846,"(53.6115434728012, -113.534884637521)",,,,1
General,2015,Caernarvon,15116  -  124 STREET,NW,2,53.61329877,-113.5368326,"(53.6132987650473, -113.53683260758)",,,,1
General,2015,Caernarvon,15124  -  124 STREET,NW,2,53.61365203,-113.5368285,"(53.613652029534, -113.536828529777)",,,,1
General,2015,Caernarvon,15240  -  124 STREET,NW,2,53.61555407,-113.5369272,"(53.6155540678784, -113.536927189743)",,,,1
General,2015,Caernarvon,11424  -  145 AVENUE,NW,2,53.6073525,-113.5196219,"(53.6073525012855, -113.519621918553)",,,,1
General,2015,Caernarvon,11428  -  145 AVENUE,NW,2,53.60737358,-113.5198494,"(53.6073735784992, -113.51984939311)",,,,1
General,2015,Caernarvon,11608  -  145 AVENUE,NW,2,53.60759166,-113.5222037,"(53.6075916626421, -113.522203740731)",,,,1
General,2015,Caernarvon,11708  -  145 AVENUE,NW,2,53.60770649,-113.5234435,"(53.6077064853289, -113.523443494954)",,,,1
General,2015,Caernarvon,12125  -  145A AVENUE,NW,2,53.60702153,-113.5321764,"(53.6070215295432, -113.532176445868)",,,,1
General,2015,Caernarvon,11408  -  146 AVENUE,NW,2,53.60804557,-113.5181123,"(53.6080455718285, -113.518112321188)",,,,1
General,2015,Caernarvon,11520  -  146 AVENUE,NW,2,53.60819401,-113.5212088,"(53.6081940104712, -113.521208843382)",,,,1
General,2015,Caernarvon,11719  -  146 AVENUE,NW,2,53.60809964,-113.5241753,"(53.6080996369064, -113.524175301759)",,,,1
General,2015,Caernarvon,12123  -  146 AVENUE,NW,2,53.60784439,-113.5324863,"(53.6078443931504, -113.532486299288)",,,,1
General,2015,Caernarvon,12128  -  146 AVENUE,NW,2,53.60832307,-113.5327515,"(53.6083230652487, -113.53275147658)",,,,1
General,2015,Caernarvon,11404  -  148 AVENUE,NW,2,53.60940989,-113.5176538,"(53.6094098875693, -113.51765375974)",,,,1
General,2015,Caernarvon,11407  -  148 AVENUE,NW,2,53.60903418,-113.5181127,"(53.6090341758062, -113.518112746236)",,,,1
General,2015,Caernarvon,11416  -  148 AVENUE,NW,2,53.60938339,-113.5185618,"(53.609383387187, -113.518561832256)",,,,1
General,2015,Caernarvon,11524  -  148 AVENUE,NW,2,53.60989203,-113.5213938,"(53.6098920344625, -113.521393790794)",,,,1
General,2015,Caernarvon,11704  -  148 AVENUE,NW,2,53.60996137,-113.5226896,"(53.6099613686556, -113.522689593227)",,,,1
General,2015,Caernarvon,12105  -  148 AVENUE,NW,2,53.61012947,-113.5323774,"(53.6101294681633, -113.532377423656)",,,,1
General,2015,Caernarvon,12223  -  149 AVENUE,NW,2,53.61094099,-113.5350023,"(53.6109409853432, -113.535002261382)",,,,1
General,2015,Caernarvon,12219  -  150 AVENUE,NW,2,53.61207329,-113.5351443,"(53.6120732926219, -113.535144346624)",,,,1
General,2015,Caernarvon,11624  -  151 AVENUE,NW,2,53.61149874,-113.5229749,"(53.611498744495, -113.522974895889)",,,,1
General,2015,Caernarvon,11708  -  151 AVENUE,NW,2,53.61158192,-113.5236956,"(53.6115819217761, -113.523695594491)",,,,1
General,2015,Caernarvon,12307  -  151 AVENUE,NW,2,53.61285828,-113.5361228,"(53.6128582773549, -113.536122782517)",,,,1
General,2015,Caernarvon,11444  -  152 AVENUE,NW,2,53.61222777,-113.51945,"(53.6122277681963, -113.519449971224)",,,,1
General,2015,Caernarvon,11452  -  152 AVENUE,NW,2,53.61223965,-113.519868,"(53.612239653724, -113.519867961407)",,,,1
General,2015,Caernarvon,11626  -  152 AVENUE,NW,2,53.61239035,-113.5229511,"(53.6123903473896, -113.522951140585)",,,,1
General,2015,Caernarvon,11452  -  152A AVENUE,NW,2,53.61299929,-113.5194918,"(53.6129992944957, -113.519491773483)",,,,1
General,2015,Caernarvon,11507  -  152A AVENUE,NW,2,53.61262249,-113.5207026,"(53.6126224916041, -113.520702626266)",,,,1
General,2015,Caernarvon,11739  -  152A AVENUE,NW,2,53.61337216,-113.5250629,"(53.6133721609318, -113.525062881772)",,,,1
General,2015,Caernarvon,11904  -  152A AVENUE,NW,2,53.61440334,-113.5265692,"(53.6144033381783, -113.526569164001)",,,,1
General,2015,Caernarvon,11911  -  152A AVENUE,NW,2,53.61416082,-113.527312,"(53.6141608156404, -113.52731202372)",,,,1
General,2015,Caernarvon,11524  -  152B AVENUE,NW,2,53.61384211,-113.5213648,"(53.6138421104139, -113.521364790376)",,,,1
General,2015,Caernarvon,11528  -  152B AVENUE,NW,2,53.61387354,-113.521641,"(53.6138735420431, -113.521640994444)",,,,1
General,2015,Caernarvon,11715  -  152B AVENUE,NW,2,53.61378439,-113.523545,"(53.6137843945029, -113.523544986487)",,,,1
General,2015,Caernarvon,11724  -  152B AVENUE,NW,2,53.61430295,-113.5237528,"(53.6143029528695, -113.523752799883)",,,,1
General,2015,Caernarvon,11731  -  152B AVENUE,NW,2,53.61401304,-113.5244058,"(53.6140130405187, -113.52440577773)",,,,1
General,2015,Caernarvon,12321  -  152B AVENUE,NW,2,53.61538157,-113.5359775,"(53.6153815719711, -113.535977504457)",,,,1
General,2015,Calder,12746  -  115 STREET,NW,2,53.58619597,-113.5204527,"(53.5861959650414, -113.52045265811)",,,,1
General,2015,Calder,13067  -  115 STREET,NW,2,53.5918659,-113.5194873,"(53.5918659001285, -113.519487261027)",,,,1
General,2015,Calder,13068  -  115 STREET,NW,2,53.59198187,-113.5204492,"(53.5919818675465, -113.520449197033)",,,,1
Edible,2015,Calder,12732  -  118 STREET,NW,2,53.58585736,-113.5255796,"(53.5858573614565, -113.52557964436)",,,,1
General,2015,Calder,12926  -  122 STREET,NW,2,53.58844316,-113.5323964,"(53.5884431646491, -113.532396438738)",,,,1
General,2015,Calder,12942  -  122 STREET,NW,2,53.58885396,-113.5323965,"(53.5888539566129, -113.532396495207)",,,,1
General,2015,Calder,12703  -  123 STREET,NW,2,53.58509295,-113.5330657,"(53.5850929475576, -113.533065730466)",,,,1
General,2015,Calder,13036  -  123 STREET,NW,2,53.59040409,-113.533943,"(53.5904040868317, -113.533942955173)",,,,1
General,2015,Calder,12802  -  123A STREET,NW,2,53.5862102,-113.5354888,"(53.5862102005462, -113.535488753721)",,,,1
General,2015,Calder,12920  -  123A STREET,NW,2,53.58830745,-113.5354889,"(53.5883074453557, -113.535488923202)",,,,1
General,2015,Calder,12307  -  131 AVENUE,NW,2,53.59054116,-113.5346103,"(53.5905411584971, -113.534610270096)",,,,1
Edible,2015,Callingwood North,7607  -  172A STREET,W,5,53.50872847,-113.6194296,"(53.5087284652494, -113.619429635446)",,,,1
General,2015,Callingwood North,17312  -  78 AVENUE,W,5,53.51121972,-113.6199667,"(53.5112197229453, -113.619966724399)",,,,1
General,2015,Callingwood South,6703  -  172 STREET,W,5,53.50401277,-113.6188919,"(53.5040127652895, -113.618891880857)",,,,1
General,2015,Cameron Heights,2440  -  CAMERON RAVINE DR,W,5,53.4735647,-113.6244213,"(53.4735646955018, -113.624421252309)",,,,1
Natural,2015,Canora,14903  -  102 AVENUE,W,1,53.54306894,-113.5785571,"(53.5430689425471, -113.578557130205)",,,,1
General,2015,Canora,15230  -  102 AVENUE,W,1,53.54346104,-113.5845614,"(53.5434610440433, -113.584561365031)",,,,1
Natural,2015,Canora,15210  -  103 AVENUE,W,1,53.54501071,-113.5844019,"(53.5450107060215, -113.584401942979)",,,,1
General,2015,Canora,15407  -  104 AVENUE,W,1,53.54624523,-113.5873204,"(53.5462452318986, -113.587320445906)",,,,1
General,2015,Canora,10311  -  150 STREET,W,1,53.54524675,-113.57931,"(53.545246748287, -113.579310000227)",,,,1
General,2015,Canora,10533  -  150 STREET,W,1,53.54892799,-113.5793334,"(53.5489279889047, -113.579333365384)",,,,1
General,2015,Canora,10540  -  150 STREET,W,1,53.54906513,-113.5803136,"(53.549065134685, -113.58031356313)",,,,1
Natural,2015,Canora,10247  -  151 STREET,W,1,53.54469081,-113.5810582,"(53.5446908119465, -113.581058200344)",,,,1
Natural,2015,Canora,10315  -  151 STREET,W,1,53.54528218,-113.5810623,"(53.5452821756145, -113.581062333602)",,,,1
General,2015,Canora,10505  -  151 STREET,W,1,53.54841473,-113.5810819,"(53.5484147279278, -113.581081914361)",,,,1
Public Space,2015,Canora,10608  -  151 STREET,W,1,53.54999959,-113.582077,"(53.549999587078, -113.582076963913)",,,,1
Public Space,2015,Canora,10141  -  153 STREET,W,1,53.54266391,-113.5845566,"(53.542663908266, -113.584556602938)",,,,1
General,2015,Canora,10205  -  153 STREET,W,1,53.54359781,-113.5845624,"(53.5435978141034, -113.584562364299)",,,,1
General,2015,Capilano,6204  -  106A AVENUE,SE,8,53.55053869,-113.4292322,"(53.5505386930165, -113.429232165322)",,,,1
General,2015,Capilano,6604  -  108 AVENUE,SE,8,53.55627597,-113.4280852,"(53.5562759671054, -113.428085178368)",,,,1
General,2015,Capilano,6608  -  108 AVENUE,SE,8,53.55626564,-113.4284182,"(53.5562656434329, -113.428418185263)",,,,1
General,2015,Capilano,6804  -  108 AVENUE,SE,8,53.55617538,-113.4301351,"(53.5561753758769, -113.43013510711)",,,,1
General,2015,Capilano,10635  -  50 STREET,SE,8,53.55328297,-113.4179907,"(53.5532829669587, -113.41799072358)",,,,1
General,2015,Capilano,10625  -  69 STREET,SE,8,53.55116442,-113.433878,"(53.5511644189075, -113.433878035237)",,,,1
General,2015,Capilano,10652  -  69 STREET,SE,8,53.55213758,-113.4347533,"(53.5521375847241, -113.434753336156)",,,,1
General,2015,Capilano,6611  -  CAPILANO CRESCENT,SE,8,53.55868666,-113.4281873,"(53.5586866584978, -113.428187302746)",,,,1
Natural,2015,Capilano,10611  -  HARDISTY DRIVE,SE,8,53.55010903,-113.435216,"(53.5501090273466, -113.435215989002)",,,,1
General,2015,Capilano,10627  -  HARDISTY DRIVE,SE,8,53.55088752,-113.435401,"(53.5508875154231, -113.435400954887)",,,,1
General,2015,Capilano,10643  -  HARDISTY DRIVE,SE,8,53.55191846,-113.4353997,"(53.5519184579537, -113.435399650813)",,,,1
General,2015,Capilano,10647  -  HARDISTY DRIVE,SE,8,53.55213067,-113.4353979,"(53.5521306726802, -113.435397912439)",,,,1
General,2015,Capilano,10655  -  HARDISTY DRIVE,SE,8,53.55253853,-113.4353454,"(53.5525385250632, -113.435345402793)",,,,1
General,2015,Capilano,10663  -  HARDISTY DRIVE,SE,8,53.55289677,-113.4352123,"(53.5528967716073, -113.435212337947)",,,,1
General,2015,Capilano,10675  -  HARDISTY DRIVE,SE,8,53.55344779,-113.4348946,"(53.5534477942939, -113.434894579046)",,,,1
General,2015,Capilano,10723  -  HARDISTY DRIVE,SE,8,53.5547139,-113.4334864,"(53.55471390418, -113.433486437761)",,,,1
General,2015,Carlisle,14112  -  114 STREET,NW,2,53.6042629,-113.5180071,"(53.6042628985578, -113.51800712201)",,,,1
General,2015,Carlisle,14213  -  114 STREET,NW,2,53.60483404,-113.5174088,"(53.6048340400461, -113.51740880448)",,,,1
General,2015,Carlisle,14304  -  114 STREET,NW,2,53.60547236,-113.5181227,"(53.6054723554082, -113.51812272748)",,,,1
General,2015,Carlisle,14316  -  114 STREET,NW,2,53.60589541,-113.5181233,"(53.6058954052797, -113.518123290576)",,,,1
General,2015,Carlisle,14208  -  114A STREET,NW,2,53.60474115,-113.5194225,"(53.6047411507636, -113.519422521795)",,,,1
General,2015,Carlisle,14012  -  116 STREET,NW,2,53.60282983,-113.521278,"(53.6028298257152, -113.521277954622)",,,,1
General,2015,Carlisle,14243  -  116 STREET,NW,2,53.60579184,-113.521503,"(53.6057918433785, -113.521502955868)",,,,1
General,2015,Carlisle,14028  -  118 STREET,NW,2,53.60318109,-113.5243952,"(53.6031810864722, -113.524395169221)",,,,1
General,2015,Carlisle,13827  -  120 STREET,NW,2,53.60074329,-113.5292257,"(53.600743294704, -113.529225681713)",,,,1
General,2015,Carlisle,13831  -  120 STREET,NW,2,53.60085917,-113.5292479,"(53.6008591654037, -113.529247854637)",,,,1
General,2015,Carlisle,14016  -  120 STREET,NW,2,53.60304312,-113.5274436,"(53.6030431248026, -113.527443564361)",,,,1
General,2015,Carlisle,13903  -  121 STREET,NW,2,53.60219617,-113.5287842,"(53.6021961696008, -113.52878423422)",,,,1
General,2015,Carlisle,14216  -  121 STREET,NW,2,53.6045911,-113.530264,"(53.6045910974656, -113.530264035593)",,,,1
General,2015,Carlisle,14324  -  121 STREET,NW,2,53.60561166,-113.529634,"(53.60561165935, -113.529634037569)",,,,1
General,2015,Carlisle,14416  -  121 STREET,NW,2,53.60668997,-113.5300473,"(53.6066899650545, -113.530047348241)",,,,1
General,2015,Carlisle,14211  -  122 STREET,NW,2,53.60461096,-113.5309048,"(53.6046109625439, -113.53090478929)",,,,1
General,2015,Carlisle,14347  -  122 STREET,NW,2,53.60643501,-113.5304816,"(53.6064350141413, -113.530481602662)",,,,1
General,2015,Carlisle,14348  -  122 STREET,NW,2,53.60628414,-113.5310717,"(53.606284135941, -113.531071666018)",,,,1
General,2015,Carlisle,14020  -  123 STREET,NW,2,53.60258853,-113.5348572,"(53.6025885299837, -113.534857189696)",,,,1
General,2015,Carlisle,11932  -  138 AVENUE,NW,2,53.60051688,-113.5273352,"(53.6005168828745, -113.527335162793)",,,,1
General,2015,Carlisle,11912  -  139 AVENUE,NW,2,53.60133855,-113.5260619,"(53.6013385510735, -113.526061906709)",,,,1
General,2015,Carlisle,12008  -  139 AVENUE,NW,2,53.60200825,-113.5284557,"(53.602008247154, -113.528455698596)",,,,1
General,2015,Carlisle,12012  -  139 AVENUE,NW,2,53.60210316,-113.5286216,"(53.6021031630373, -113.528621624796)",,,,1
General,2015,Carlisle,11616  -  140 AVENUE,NW,2,53.60262219,-113.521772,"(53.6026221866839, -113.521772012845)",,,,1
General,2015,Carlisle,11816  -  140 AVENUE,NW,2,53.60231609,-113.5248863,"(53.6023160946376, -113.524886304716)",,,,1
General,2015,Carlisle,12208  -  140A AVENUE,NW,2,53.60281545,-113.5331425,"(53.6028154508565, -113.533142533826)",,,,1
General,2015,Carlisle,12210  -  140A AVENUE,NW,2,53.60281544,-113.5333,"(53.6028154360986, -113.533300017315)",,,,1
General,2015,Carlisle,12216  -  140A AVENUE,NW,2,53.60281535,-113.5339299,"(53.6028153479793, -113.533929936469)",,,,1
General,2015,Carlisle,11408  -  141 AVENUE,NW,2,53.60392707,-113.5180306,"(53.6039270726136, -113.518030555849)",,,,1
General,2015,Carlisle,11423  -  141 AVENUE,NW,2,53.60346188,-113.5185409,"(53.6034618775271, -113.518540927502)",,,,1
General,2015,Carlisle,11424  -  141 AVENUE,NW,2,53.60390142,-113.5190191,"(53.6039014233144, -113.51901913306)",,,,1
General,2015,Carlisle,11512  -  141 AVENUE,NW,2,53.60387418,-113.5197165,"(53.6038741753593, -113.519716547786)",,,,1
General,2015,Carlisle,11519  -  141 AVENUE,NW,2,53.60337771,-113.5200798,"(53.6033777052611, -113.520079785738)",,,,1
General,2015,Carlisle,11528  -  141 AVENUE,NW,2,53.60377692,-113.5206332,"(53.6037769208054, -113.520633187765)",,,,1
General,2015,Carlisle,11815  -  141 AVENUE,NW,2,53.60318641,-113.5251758,"(53.6031864059766, -113.52517584047)",,,,1
General,2015,Carlisle,11408  -  142 AVENUE,NW,2,53.60461182,-113.5181223,"(53.6046118181298, -113.518122324591)",,,,1
General,2015,Carlisle,11415  -  142 AVENUE,NW,2,53.60426071,-113.5185634,"(53.6042607078284, -113.518563449253)",,,,1
General,2015,Carlisle,11419  -  142 AVENUE,NW,2,53.6042567,-113.5187873,"(53.6042567019309, -113.518787324082)",,,,1
General,2015,Carlisle,11439  -  142 AVENUE,NW,2,53.60421102,-113.5198942,"(53.6042110240563, -113.519894176609)",,,,1
General,2015,Carlisle,11516  -  142 AVENUE,NW,2,53.60440138,-113.5212347,"(53.6044013784965, -113.521234741126)",,,,1
General,2015,Carlisle,12252  -  142 AVENUE,NW,2,53.60444476,-113.5344961,"(53.6044447553311, -113.534496101847)",,,,1
General,2015,Carlisle,12304  -  142 AVENUE,NW,2,53.60444472,-113.5347309,"(53.6044447248254, -113.534730885848)",,,,1
General,2015,Carlisle,12307  -  142 AVENUE,NW,2,53.60389709,-113.5349564,"(53.6038970929073, -113.534956440893)",,,,1
General,2015,Carlisle,12221  -  143 AVENUE,NW,2,53.60479757,-113.5319943,"(53.6047975701856, -113.53199430862)",,,,1
General,2015,Carlisle,12230  -  143 AVENUE,NW,2,53.60545585,-113.5322786,"(53.6054558476766, -113.532278583866)",,,,1
General,2015,Carlisle,12240  -  143 AVENUE,NW,2,53.60532572,-113.532785,"(53.6053257240675, -113.532785013392)",,,,1
General,2015,Carlisle,11432  -  144 AVENUE,NW,2,53.60645507,-113.5193298,"(53.6064550650912, -113.519329800467)",,,,1
General,2015,Carlisle,11435  -  144 AVENUE,NW,2,53.60603656,-113.5196868,"(53.606036560057, -113.519686817023)",,,,1
General,2015,Carlisle,11436  -  144 AVENUE,NW,2,53.60647108,-113.5195397,"(53.6064710763153, -113.519539740593)",,,,1
General,2015,Carlisle,11440  -  144 AVENUE,NW,2,53.6064884,-113.519754,"(53.6064883986045, -113.519754032527)",,,,1
General,2015,Carlisle,11503  -  144 AVENUE,NW,2,53.60612749,-113.5207728,"(53.6061274928299, -113.520772798946)",,,,1
General,2015,Carlisle,11516  -  144 AVENUE,NW,2,53.60665452,-113.5213958,"(53.6066545200925, -113.521395765638)",,,,1
General,2015,Carlisle,11524  -  144 AVENUE,NW,2,53.60673096,-113.5218912,"(53.6067309576026, -113.521891207375)",,,,1
General,2015,Carlisle,12215  -  144 AVENUE,NW,2,53.6062941,-113.531586,"(53.6062941027213, -113.531586017269)",,,,1
General,2015,Carlisle,12219  -  144 AVENUE,NW,2,53.60629376,-113.5318162,"(53.606293763516, -113.531816236943)",,,,1
General,2015,Carlisle,12220  -  144 AVENUE,NW,2,53.6067431,-113.5318709,"(53.6067431017451, -113.531870903117)",,,,1
General,2015,Carlisle,12224  -  144 AVENUE,NW,2,53.60674274,-113.5320854,"(53.6067427364475, -113.532085396875)",,,,1
General,2015,Carlisle,12228  -  144 AVENUE,NW,2,53.60674235,-113.532311,"(53.6067423513225, -113.532311011192)",,,,1
General,2015,Carlisle,12232  -  144 AVENUE,NW,2,53.60674195,-113.5325458,"(53.6067419477982, -113.532545827187)",,,,1
General,2015,Carlisle,12243  -  144 AVENUE,NW,2,53.6062917,-113.5332389,"(53.6062917006176, -113.533238923621)",,,,1
General,2015,Carlisle,12256  -  144 AVENUE,NW,2,53.60673976,-113.533911,"(53.6067397599758, -113.53391097942)",,,,1
General,2015,Carter Crest,310  -  CARMICHAEL WYND,SW,9,53.46635568,-113.5780063,"(53.4663556756479, -113.578006268972)",,,,1
General,2015,Carter Crest,321  -  CARMICHAEL WYND,SW,9,53.46678208,-113.5768647,"(53.466782081885, -113.576864709508)",,,,1
General,2015,Carter Crest,510  -  CARSE LANE,SW,9,53.46483261,-113.5802339,"(53.4648326143306, -113.58023394849)",,,,1
Natural,2015,Carter Crest,1027  -  CARTER CREST ROAD,SW,9,53.46451513,-113.5733881,"(53.4645151263788, -113.573388072528)",,,,1
Natural,2015,Carter Crest,1041  -  CARTER CREST ROAD,SW,9,53.46348003,-113.5745948,"(53.463480032972, -113.574594765378)",,,,1
General,2015,Carter Crest,1164  -  CARTER CREST ROAD,SW,9,53.46335329,-113.5802385,"(53.4633532935687, -113.580238452129)",,,,1
General,2015,Carter Crest,1179  -  CARTER CREST ROAD,SW,9,53.46207652,-113.5811841,"(53.4620765236317, -113.581184082795)",,,,1
General,2015,Carter Crest,1183  -  CARTER CREST ROAD,SW,9,53.46233378,-113.5811199,"(53.4623337776018, -113.581119949483)",,,,1
General,2015,Carter Crest,628  -  CHERITON CRESCENT,SW,9,53.4649147,-113.5777678,"(53.4649147034394, -113.577767843943)",,,,1
General,2015,Carter Crest,630  -  CHERITON CRESCENT,SW,9,53.46487713,-113.5780284,"(53.4648771273796, -113.578028401315)",,,,1
General,2015,Carter Crest,634  -  CHERITON CRESCENT,SW,9,53.46488435,-113.5786394,"(53.4648843515279, -113.578639382387)",,,,1
General,2015,Carter Crest,647  -  CHERITON CRESCENT,SW,9,53.46377002,-113.5784145,"(53.4637700190191, -113.578414542912)",,,,1
General,2015,Carter Crest,19  -  CORMACK CRESCENT,SW,9,53.46399858,-113.5707019,"(53.4639985821543, -113.570701891729)",,,,1
General,2015,Carter Crest,33  -  CORMACK CRESCENT,SW,9,53.46426148,-113.5723144,"(53.4642614836527, -113.572314369239)",,,,1
General,2015,Carter Crest,40  -  CORMACK CRESCENT,SW,9,53.46374408,-113.5722159,"(53.4637440797189, -113.572215862815)",,,,1
General,2015,Casselman,5509  -  145A AVENUE,NE,4,53.60926336,-113.4255391,"(53.6092633612726, -113.425539064959)",,,,1
General,2015,Casselman,5507  -  152 AVENUE,NE,4,53.61347086,-113.4273089,"(53.6134708649147, -113.427308920344)",,,,1
General,2015,Casselman,5612  -  152A AVENUE,NE,4,53.61477823,-113.4283501,"(53.6147782276485, -113.428350072891)",,,,1
General,2015,Casselman,14903  -  54A STREET,NE,4,53.6126153,-113.4245363,"(53.6126153048945, -113.424536279223)",,,,1
General,2015,Central McDougall,10740  -  101 STREET,NW,6,53.55241049,-113.4942483,"(53.5524104866531, -113.494248253971)",,,,1
General,2015,Central McDougall,10815  -  107 STREET,NW,6,53.55358791,-113.5042274,"(53.5535879074203, -113.504227396563)",,,,1
General,2015,Central McDougall,10829  -  109 STREET,NW,6,53.55386167,-113.5078829,"(53.5538616743408, -113.507882939299)",,,,1
General,2015,Central McDougall,10839  -  109 STREET,NW,6,53.55413553,-113.5078832,"(53.5541355322816, -113.507883157049)",,,,1
General,2015,Central McDougall,10929  -  109 STREET,NW,6,53.55545,-113.5078842,"(53.55544999792, -113.507884157466)",,,,1
Public Space,2015,Central McDougall,10965  -  109 STREET,NW,6,53.55633991,-113.5078847,"(53.5563399096348, -113.507884741927)",,,,1
General,2015,Chappelle Area,1714  -  CHAPMAN WAY,SW,9,53.40695234,-113.5766779,"(53.4069523379354, -113.576677906379)",,,,1
General,2015,Charlesworth,6104  -  3 AVENUE,SE,12,53.43015692,-113.4350579,"(53.4301569178261, -113.435057862093)",,,,1
General,2015,Charlesworth,5932  -  8 AVENUE,SE,12,53.42575553,-113.4336724,"(53.4257555339753, -113.433672409789)",,,,1
General,2015,Cloverdale,9722  -  92 STREET,SE,8,53.53684095,-113.4688835,"(53.5368409486578, -113.468883483612)",,,,1
Natural,2015,Crawford Plains,4607  -  10 AVENUE,SE,12,53.43793304,-113.4112058,"(53.4379330401141, -113.411205800709)",,,,1
General,2015,Crawford Plains,4508  -  12 AVENUE,SE,12,53.44079729,-113.4094452,"(53.4407972927557, -113.409445154004)",,,,1
General,2015,Crestwood,9507  -  141 STREET,W,1,53.53235986,-113.5625203,"(53.532359860642, -113.56252033747)",,,,1
General,2015,Crestwood,9618  -  141 STREET,W,1,53.53406862,-113.5625989,"(53.5340686204926, -113.562598895962)",,,,1
General,2015,Crestwood,9625  -  141 STREET,W,1,53.53393185,-113.5618702,"(53.5339318458155, -113.561870187352)",,,,1
General,2015,Crestwood,9711  -  141 STREET,W,1,53.53503804,-113.5614707,"(53.5350380408722, -113.561470727349)",,,,1
General,2015,Crestwood,9715  -  141 STREET,W,1,53.53528581,-113.5613942,"(53.5352858098799, -113.561394242099)",,,,1
